,question,document
85,Когда принимаются заявления на восстановление в Университет на первый семестр первого курса?,"Заявления на восстановление в Университет по очной и очно-заочной формам обучения принимаются два раза в год: с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр, если с момента отчисления не прошло 5 лет. Заявления на восстановление в Университет на первый семестр (триместр, модуль) первого курса принимаются, как правило, с 10 по 25 августа."
86,Какой срок с момента отчисления допускается для подачи заявления на восстановление в Университет?,"Заявления на восстановление в Университет по очной и очно-заочной формам обучения принимаются два раза в год: с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр, если с момента отчисления не прошло 5 лет. Заявления на восстановление в Университет на первый семестр (триместр, модуль) первого курса принимаются, как правило, с 10 по 25 августа."
87,В какой период времени принимаются заявления на восстановление в Университет на первый семестр первого курса?,"Заявления на восстановление в Университет по очной и очно-заочной формам обучения принимаются два раза в год: с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр, если с момента отчисления не прошло 5 лет. Заявления на восстановление в Университет на первый семестр (триместр, модуль) первого курса принимаются, как правило, с 10 по 25 августа."
88,Какие сроки подачи заявления на восстановление в ТюмГУ?,"Заявления на восстановление в ТюмГУ принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ , если с момента отчисления не прошло 5 лет.  Заявления на восстановление на 1 курс 1 семестр принимаются, как правило, с 10 августа по 25 августа."
89,Каковы условия для подачи заявления на восстановление?,"Заявления на восстановление в ТюмГУ принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ , если с момента отчисления не прошло 5 лет.  Заявления на восстановление на 1 курс 1 семестр принимаются, как правило, с 10 августа по 25 августа."
90,Какие документы необходимы для подачи заявления на восстановление?,"Заявления на восстановление в ТюмГУ принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ , если с момента отчисления не прошло 5 лет.  Заявления на восстановление на 1 курс 1 семестр принимаются, как правило, с 10 августа по 25 августа."
91,Какие сроки подачи заявления на восстановление на 1 курс 1 семестр?,"Заявления на восстановление в ТюмГУ принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ , если с момента отчисления не прошло 5 лет.  Заявления на восстановление на 1 курс 1 семестр принимаются, как правило, с 10 августа по 25 августа."
92,"Какие требования предъявляются к студентам, которые хотят восстановиться после отчисления?","Заявления на восстановление в ТюмГУ принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ , если с момента отчисления не прошло 5 лет.  Заявления на восстановление на 1 курс 1 семестр принимаются, как правило, с 10 августа по 25 августа."
95,Что нужно сделать после рассмотрения заявления аттестационной комиссией для восстановления на договорное место?,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо  заключить договор , оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении."
96,Какую информацию необходимо предоставить при заключении договора?,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо  заключить договор , оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении."
97,Какие последствия могут возникнуть в случае несвоевременной оплаты?,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо  заключить договор , оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении."
98,Как долго рассматривается заявление аттестационной комиссией?,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо  заключить договор , оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении."
99,Какие документы передаются для оформления приказа после заключения договора и оплаты?,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо  заключить договор , оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении."
100,Как подать заявление о переводе?,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж (при себе необходимо иметь паспорт и СНИЛС), либо предоставив полный пакет документов на почту  ed@utmn.ru .   Заявления о переводе по очной и очно-заочной формам обучения принимаются 2 (раза) в год, как правило, в осеннем и весеннем семестрах в течение 2 (двух) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 (два) месяца до начала промежуточной аттестации / практики текущего семестра (триместра, модуля) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат (ed@ utmn.ru ) справку о периоде обучения (справку об обучении) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе.  ТюмГУ не позднее 10 (десяти) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом.  В случае положительного решения студенту выдается справка о переводе (срок действия 15 рабочих дней с даты регистрации справки). 3. Оформить отчисление в своей образовательной организации -   подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов: оригинал справки о периоде обучения,  заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании (оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом), оформить договор и оплатить (в случае перевода на договорное место). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 (пяти) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате (филиале) студенту выдаются студенческий билет и карта доступа в университет."
101,Когда принимаются заявления о переводе?,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж (при себе необходимо иметь паспорт и СНИЛС), либо предоставив полный пакет документов на почту  ed@utmn.ru .   Заявления о переводе по очной и очно-заочной формам обучения принимаются 2 (раза) в год, как правило, в осеннем и весеннем семестрах в течение 2 (двух) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 (два) месяца до начала промежуточной аттестации / практики текущего семестра (триместра, модуля) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат (ed@ utmn.ru ) справку о периоде обучения (справку об обучении) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе.  ТюмГУ не позднее 10 (десяти) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом.  В случае положительного решения студенту выдается справка о переводе (срок действия 15 рабочих дней с даты регистрации справки). 3. Оформить отчисление в своей образовательной организации -   подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов: оригинал справки о периоде обучения,  заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании (оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом), оформить договор и оплатить (в случае перевода на договорное место). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 (пяти) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате (филиале) студенту выдаются студенческий билет и карта доступа в университет."
102,Какие документы необходимы для подачи заявления о переводе?,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж (при себе необходимо иметь паспорт и СНИЛС), либо предоставив полный пакет документов на почту  ed@utmn.ru .   Заявления о переводе по очной и очно-заочной формам обучения принимаются 2 (раза) в год, как правило, в осеннем и весеннем семестрах в течение 2 (двух) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 (два) месяца до начала промежуточной аттестации / практики текущего семестра (триместра, модуля) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат (ed@ utmn.ru ) справку о периоде обучения (справку об обучении) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе.  ТюмГУ не позднее 10 (десяти) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом.  В случае положительного решения студенту выдается справка о переводе (срок действия 15 рабочих дней с даты регистрации справки). 3. Оформить отчисление в своей образовательной организации -   подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов: оригинал справки о периоде обучения,  заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании (оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом), оформить договор и оплатить (в случае перевода на договорное место). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 (пяти) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате (филиале) студенту выдаются студенческий билет и карта доступа в университет."
103,Как ТюмГУ принимает решение о возможности зачисления переводом?,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж (при себе необходимо иметь паспорт и СНИЛС), либо предоставив полный пакет документов на почту  ed@utmn.ru .   Заявления о переводе по очной и очно-заочной формам обучения принимаются 2 (раза) в год, как правило, в осеннем и весеннем семестрах в течение 2 (двух) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 (два) месяца до начала промежуточной аттестации / практики текущего семестра (триместра, модуля) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат (ed@ utmn.ru ) справку о периоде обучения (справку об обучении) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе.  ТюмГУ не позднее 10 (десяти) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом.  В случае положительного решения студенту выдается справка о переводе (срок действия 15 рабочих дней с даты регистрации справки). 3. Оформить отчисление в своей образовательной организации -   подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов: оригинал справки о периоде обучения,  заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании (оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом), оформить договор и оплатить (в случае перевода на договорное место). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 (пяти) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате (филиале) студенту выдаются студенческий билет и карта доступа в университет."
104,Какие документы нужны для оформления зачисления в ТюмГУ после перевода?,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж (при себе необходимо иметь паспорт и СНИЛС), либо предоставив полный пакет документов на почту  ed@utmn.ru .   Заявления о переводе по очной и очно-заочной формам обучения принимаются 2 (раза) в год, как правило, в осеннем и весеннем семестрах в течение 2 (двух) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 (два) месяца до начала промежуточной аттестации / практики текущего семестра (триместра, модуля) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат (ed@ utmn.ru ) справку о периоде обучения (справку об обучении) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе.  ТюмГУ не позднее 10 (десяти) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом.  В случае положительного решения студенту выдается справка о переводе (срок действия 15 рабочих дней с даты регистрации справки). 3. Оформить отчисление в своей образовательной организации -   подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов: оригинал справки о периоде обучения,  заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании (оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом), оформить договор и оплатить (в случае перевода на договорное место). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 (пяти) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате (филиале) студенту выдаются студенческий билет и карта доступа в университет."
105,Какие документы необходимы для подачи заявления на перевод в ТюмГУ?,"Пакет документов для подачи заявления на перевод: 1. Заявление о зачислении переводом  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 2. Справка о периоде обучения (академическая справка); 3. Справка о подтверждении обучения (для студентов, обучающихся на бюджетной основе); 4. Копия зачетной книжки (для студентов, обучающихся нa бюджетной основе): 5. Копия паспорта (страница с фото+регистрация); 6. Копия лицензии и свидетельство об аккредитации ВУЗа с приложениями; 7. Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 8. Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 9. Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 10. СНИЛС (при наличии). Пакет документов для зачисления в ТюмГУ: 1. Выписка из приказа об отчислении переводом (заверенная копия приказа об отчислении переводом) 2. Оригинал справки о периоде обучения (академической справки) 3. Документ о предыдущем образовании 4. Одна фотография 3*4 для оформления студенческого билета 5. Подписанный договор и оплата обучения (для студентов, зачисляющихся на договорное место) ВАЖНО!!!  В случае перевода на договорное место, необходимо заключить договор и произвести оплату в течение двух рабочих‚ дней с момента уведомления о необходимости заключения договора работником отдела платных образовательных услуг. В случае несвоевременной оплаты Университет вправе отказать в процедуре перевода."
106,Как выглядит заявление о зачислении переводом?,"Пакет документов для подачи заявления на перевод: 1. Заявление о зачислении переводом  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 2. Справка о периоде обучения (академическая справка); 3. Справка о подтверждении обучения (для студентов, обучающихся на бюджетной основе); 4. Копия зачетной книжки (для студентов, обучающихся нa бюджетной основе): 5. Копия паспорта (страница с фото+регистрация); 6. Копия лицензии и свидетельство об аккредитации ВУЗа с приложениями; 7. Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 8. Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 9. Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 10. СНИЛС (при наличии). Пакет документов для зачисления в ТюмГУ: 1. Выписка из приказа об отчислении переводом (заверенная копия приказа об отчислении переводом) 2. Оригинал справки о периоде обучения (академической справки) 3. Документ о предыдущем образовании 4. Одна фотография 3*4 для оформления студенческого билета 5. Подписанный договор и оплата обучения (для студентов, зачисляющихся на договорное место) ВАЖНО!!!  В случае перевода на договорное место, необходимо заключить договор и произвести оплату в течение двух рабочих‚ дней с момента уведомления о необходимости заключения договора работником отдела платных образовательных услуг. В случае несвоевременной оплаты Университет вправе отказать в процедуре перевода."
107,Что такое академическая справка и где ее можно получить?,"Пакет документов для подачи заявления на перевод: 1. Заявление о зачислении переводом  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 2. Справка о периоде обучения (академическая справка); 3. Справка о подтверждении обучения (для студентов, обучающихся на бюджетной основе); 4. Копия зачетной книжки (для студентов, обучающихся нa бюджетной основе): 5. Копия паспорта (страница с фото+регистрация); 6. Копия лицензии и свидетельство об аккредитации ВУЗа с приложениями; 7. Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 8. Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 9. Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 10. СНИЛС (при наличии). Пакет документов для зачисления в ТюмГУ: 1. Выписка из приказа об отчислении переводом (заверенная копия приказа об отчислении переводом) 2. Оригинал справки о периоде обучения (академической справки) 3. Документ о предыдущем образовании 4. Одна фотография 3*4 для оформления студенческого билета 5. Подписанный договор и оплата обучения (для студентов, зачисляющихся на договорное место) ВАЖНО!!!  В случае перевода на договорное место, необходимо заключить договор и произвести оплату в течение двух рабочих‚ дней с момента уведомления о необходимости заключения договора работником отдела платных образовательных услуг. В случае несвоевременной оплаты Университет вправе отказать в процедуре перевода."
108,Как выглядит справка о подтверждении обучения?,"Пакет документов для подачи заявления на перевод: 1. Заявление о зачислении переводом  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 2. Справка о периоде обучения (академическая справка); 3. Справка о подтверждении обучения (для студентов, обучающихся на бюджетной основе); 4. Копия зачетной книжки (для студентов, обучающихся нa бюджетной основе): 5. Копия паспорта (страница с фото+регистрация); 6. Копия лицензии и свидетельство об аккредитации ВУЗа с приложениями; 7. Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 8. Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 9. Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 10. СНИЛС (при наличии). Пакет документов для зачисления в ТюмГУ: 1. Выписка из приказа об отчислении переводом (заверенная копия приказа об отчислении переводом) 2. Оригинал справки о периоде обучения (академической справки) 3. Документ о предыдущем образовании 4. Одна фотография 3*4 для оформления студенческого билета 5. Подписанный договор и оплата обучения (для студентов, зачисляющихся на договорное место) ВАЖНО!!!  В случае перевода на договорное место, необходимо заключить договор и произвести оплату в течение двух рабочих‚ дней с момента уведомления о необходимости заключения договора работником отдела платных образовательных услуг. В случае несвоевременной оплаты Университет вправе отказать в процедуре перевода."
109,"Какие документы нужны для студентов, обучающихся на бюджетной основе?","Пакет документов для подачи заявления на перевод: 1. Заявление о зачислении переводом  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 2. Справка о периоде обучения (академическая справка); 3. Справка о подтверждении обучения (для студентов, обучающихся на бюджетной основе); 4. Копия зачетной книжки (для студентов, обучающихся нa бюджетной основе): 5. Копия паспорта (страница с фото+регистрация); 6. Копия лицензии и свидетельство об аккредитации ВУЗа с приложениями; 7. Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 8. Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 9. Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/ ; 10. СНИЛС (при наличии). Пакет документов для зачисления в ТюмГУ: 1. Выписка из приказа об отчислении переводом (заверенная копия приказа об отчислении переводом) 2. Оригинал справки о периоде обучения (академической справки) 3. Документ о предыдущем образовании 4. Одна фотография 3*4 для оформления студенческого билета 5. Подписанный договор и оплата обучения (для студентов, зачисляющихся на договорное место) ВАЖНО!!!  В случае перевода на договорное место, необходимо заключить договор и произвести оплату в течение двух рабочих‚ дней с момента уведомления о необходимости заключения договора работником отдела платных образовательных услуг. В случае несвоевременной оплаты Университет вправе отказать в процедуре перевода."
